gender,occasion,skin_tone,season,temperature,outfit_name,color_palette,image_url,amazon_link,flipkart_link,meesho_link
Female,Party,Light Cool,Winter,5,Elegant Winter Dress,"['#2C3E50', '#E8F4FD', '#3498DB', '#ECF0F1']",/static/images/winter_dress.jpg,https://amazon.com/winter-dress,https://flipkart.com/winter-dress,https://meesho.com/winter-dress
Female,Party,Light Warm,Winter,8,Cozy Party Outfit,"['#8B4513', '#F4A460', '#DEB887', '#CD853F']",/static/images/cozy_party.jpg,https://amazon.com/cozy-party,https://flipkart.com/cozy-party,https://meesho.com/cozy-party
Female,College,Medium Cool,Spring,18,Casual Spring Look,"['#98D8C8', '#F7DC6F', '#AED6F1', '#A9DFBF']",/static/images/spring_casual.jpg,https://amazon.com/spring-casual,https://flipkart.com/spring-casual,https://meesho.com/spring-casual
Female,College,Medium Warm,Spring,20,Vibrant College Wear,"['#E74C3C', '#F39C12', '#2ECC71', '#9B59B6']",/static/images/vibrant_college.jpg,https://amazon.com/vibrant-college,https://flipkart.com/vibrant-college,https://meesho.com/vibrant-college
Female,Office,Deep Cool,Summer,28,Professional Summer,"['#34495E', '#85C1E9', '#A2D9CE', '#F8F9FA']",/static/images/professional_summer.jpg,https://amazon.com/professional-summer,https://flipkart.com/professional-summer,https://meesho.com/professional-summer
Female,Office,Deep Warm,Summer,30,Chic Office Look,"['#A0522D', '#DEB887', '#F5DEB3', '#8B4513']",/static/images/chic_office.jpg,https://amazon.com/chic-office,https://flipkart.com/chic-office,https://meesho.com/chic-office
Female,Marriage,Light Cool,Autumn,15,Wedding Guest Attire,"['#FFB6C1', '#E6E6FA', '#B0E0E6', '#F0F8FF']",/static/images/wedding_guest.jpg,https://amazon.com/wedding-guest,https://flipkart.com/wedding-guest,https://meesho.com/wedding-guest
Female,Marriage,Light Warm,Autumn,12,Festive Wedding Look,"['#FF69B4', '#FFD700', '#FFA500', '#FF6347']",/static/images/festive_wedding.jpg,https://amazon.com/festive-wedding,https://flipkart.com/festive-wedding,https://meesho.com/festive-wedding
Male,Party,Light Cool,Winter,3,Sharp Winter Party,"['#2C3E50', '#34495E', '#5D6D7E', '#85929E']",/static/images/sharp_winter_party.jpg,https://amazon.com/sharp-winter-party,https://flipkart.com/sharp-winter-party,https://meesho.com/sharp-winter-party
Male,Party,Light Warm,Winter,6,Warm Party Style,"['#8B4513', '#A0522D', '#CD853F', '#DEB887']",/static/images/warm_party_style.jpg,https://amazon.com/warm-party-style,https://flipkart.com/warm-party-style,https://meesho.com/warm-party-style
Male,College,Medium Cool,Spring,19,Cool College Casual,"['#3498DB', '#85C1E9', '#AED6F1', '#D6EAF8']",/static/images/cool_college_casual.jpg,https://amazon.com/cool-college-casual,https://flipkart.com/cool-college-casual,https://meesho.com/cool-college-casual
Male,College,Medium Warm,Spring,22,Trendy Campus Look,"['#E67E22', '#F39C12', '#F7DC6F', '#FCF3CF']",/static/images/trendy_campus.jpg,https://amazon.com/trendy-campus,https://flipkart.com/trendy-campus,https://meesho.com/trendy-campus
Male,Office,Deep Cool,Summer,26,Professional Cool,"['#2C3E50', '#34495E', '#85C1E9', '#D6EAF8']",/static/images/professional_cool.jpg,https://amazon.com/professional-cool,https://flipkart.com/professional-cool,https://meesho.com/professional-cool
Male,Office,Deep Warm,Summer,29,Executive Warm,"['#8B4513', '#A0522D', '#F4A460', '#DEB887']",/static/images/executive_warm.jpg,https://amazon.com/executive-warm,https://flipkart.com/executive-warm,https://meesho.com/executive-warm
Male,Marriage,Light Cool,Autumn,14,Wedding Cool Formal,"['#2C3E50', '#85C1E9', '#D6EAF8', '#EBF5FB']",/static/images/wedding_cool_formal.jpg,https://amazon.com/wedding-cool-formal,https://flipkart.com/wedding-cool-formal,https://meesho.com/wedding-cool-formal
Male,Marriage,Light Warm,Autumn,16,Wedding Warm Formal,"['#8B4513', '#CD853F', '#F4A460', '#FAEBD7']",/static/images/wedding_warm_formal.jpg,https://amazon.com/wedding-warm-formal,https://flipkart.com/wedding-warm-formal,https://meesho.com/wedding-warm-formal
Female,Casual,Light Cool,Winter,7,Cozy Winter Casual,"['#B0C4DE', '#E6E6FA', '#F0F8FF', '#F5F5F5']",/static/images/cozy_winter_casual.jpg,https://amazon.com/cozy-winter-casual,https://flipkart.com/cozy-winter-casual,https://meesho.com/cozy-winter-casual
Female,Casual,Light Warm,Winter,9,Warm Winter Casual,"['#DEB887', '#F5DEB3', '#FFEFD5', '#FFF8DC']",/static/images/warm_winter_casual.jpg,https://amazon.com/warm-winter-casual,https://flipkart.com/warm-winter-casual,https://meesho.com/warm-winter-casual
Female,Formal,Medium Cool,Spring,17,Spring Formal Cool,"['#4682B4', '#87CEEB', '#B0E0E6', '#E0F6FF']",/static/images/spring_formal_cool.jpg,https://amazon.com/spring-formal-cool,https://flipkart.com/spring-formal-cool,https://meesho.com/spring-formal-cool
