gender,occasion,skin_tone,season,temperature,outfit_name,color_palette,image_url,amazon_link,flipkart_link,meesho_link,standard_category,image_url_replaced,amazon_link_checked,flipkart_link_checked,meesho_link_checked,notes
Female,Party,Light Cool,Winter,5,Elegant Winter Dress,"['#2C3E50', '#E8F4FD', '#3498DB', '#ECF0F1']",/static/images/winter_dress.jpg,https://amazon.com/winter-dress,https://flipkart.com/winter-dress,https://meesho.com/winter-dress,Party,https://unsplash.com/s/photos/Elegant+Winter+Dress+%5B%27%232C3E50%27%2C+%27%23E8F4FD%27%2C+%27%233498DB%27%2C+%27%23ECF0F1%27%5D+outfit,https://amazon.com/winter-dress,https://flipkart.com/winter-dress,https://meesho.com/winter-dress,local image path replaced
Female,Party,Light Warm,Winter,8,Cozy Party Outfit,"['#8B4513', '#F4A460', '#DEB887', '#CD853F']",/static/images/cozy_party.jpg,https://amazon.com/cozy-party,https://flipkart.com/cozy-party,https://meesho.com/cozy-party,Party,https://unsplash.com/s/photos/Cozy+Party+Outfit+%5B%27%238B4513%27%2C+%27%23F4A460%27%2C+%27%23DEB887%27%2C+%27%23CD853F%27%5D+outfit,https://amazon.com/cozy-party,https://flipkart.com/cozy-party,https://meesho.com/cozy-party,local image path replaced
Female,College,Medium Cool,Spring,18,Casual Spring Look,"['#98D8C8', '#F7DC6F', '#AED6F1', '#A9DFBF']",/static/images/spring_casual.jpg,https://amazon.com/spring-casual,https://flipkart.com/spring-casual,https://meesho.com/spring-casual,College,https://unsplash.com/s/photos/Casual+Spring+Look+%5B%27%2398D8C8%27%2C+%27%23F7DC6F%27%2C+%27%23AED6F1%27%2C+%27%23A9DFBF%27%5D+outfit,https://amazon.com/spring-casual,https://flipkart.com/spring-casual,https://meesho.com/spring-casual,local image path replaced
Female,College,Medium Warm,Spring,20,Vibrant College Wear,"['#E74C3C', '#F39C12', '#2ECC71', '#9B59B6']",/static/images/vibrant_college.jpg,https://amazon.com/vibrant-college,https://flipkart.com/vibrant-college,https://meesho.com/vibrant-college,College,https://unsplash.com/s/photos/Vibrant+College+Wear+%5B%27%23E74C3C%27%2C+%27%23F39C12%27%2C+%27%232ECC71%27%2C+%27%239B59B6%27%5D+outfit,https://amazon.com/vibrant-college,https://flipkart.com/vibrant-college,https://meesho.com/vibrant-college,local image path replaced
Female,Office,Deep Cool,Summer,28,Professional Summer,"['#34495E', '#85C1E9', '#A2D9CE', '#F8F9FA']",/static/images/professional_summer.jpg,https://amazon.com/professional-summer,https://flipkart.com/professional-summer,https://meesho.com/professional-summer,Professional,https://unsplash.com/s/photos/Professional+Summer+%5B%27%2334495E%27%2C+%27%2385C1E9%27%2C+%27%23A2D9CE%27%2C+%27%23F8F9FA%27%5D+outfit,https://amazon.com/professional-summer,https://flipkart.com/professional-summer,https://meesho.com/professional-summer,local image path replaced
Female,Office,Deep Warm,Summer,30,Chic Office Look,"['#A0522D', '#DEB887', '#F5DEB3', '#8B4513']",/static/images/chic_office.jpg,https://amazon.com/chic-office,https://flipkart.com/chic-office,https://meesho.com/chic-office,Professional,https://unsplash.com/s/photos/Chic+Office+Look+%5B%27%23A0522D%27%2C+%27%23DEB887%27%2C+%27%23F5DEB3%27%2C+%27%238B4513%27%5D+outfit,https://amazon.com/chic-office,https://flipkart.com/chic-office,https://meesho.com/chic-office,local image path replaced
Female,Marriage,Light Cool,Autumn,15,Wedding Guest Attire,"['#FFB6C1', '#E6E6FA', '#B0E0E6', '#F0F8FF']",/static/images/wedding_guest.jpg,https://amazon.com/wedding-guest,https://flipkart.com/wedding-guest,https://meesho.com/wedding-guest,Wedding,https://unsplash.com/s/photos/Wedding+Guest+Attire+%5B%27%23FFB6C1%27%2C+%27%23E6E6FA%27%2C+%27%23B0E0E6%27%2C+%27%23F0F8FF%27%5D+outfit,https://amazon.com/wedding-guest,https://flipkart.com/wedding-guest,https://meesho.com/wedding-guest,local image path replaced
Female,Marriage,Light Warm,Autumn,12,Festive Wedding Look,"['#FF69B4', '#FFD700', '#FFA500', '#FF6347']",/static/images/festive_wedding.jpg,https://amazon.com/festive-wedding,https://flipkart.com/festive-wedding,https://meesho.com/festive-wedding,Wedding,https://unsplash.com/s/photos/Festive+Wedding+Look+%5B%27%23FF69B4%27%2C+%27%23FFD700%27%2C+%27%23FFA500%27%2C+%27%23FF6347%27%5D+outfit,https://amazon.com/festive-wedding,https://flipkart.com/festive-wedding,https://meesho.com/festive-wedding,local image path replaced
Male,Party,Light Cool,Winter,3,Sharp Winter Party,"['#2C3E50', '#34495E', '#5D6D7E', '#85929E']",/static/images/sharp_winter_party.jpg,https://amazon.com/sharp-winter-party,https://flipkart.com/sharp-winter-party,https://meesho.com/sharp-winter-party,Party,https://unsplash.com/s/photos/Sharp+Winter+Party+%5B%27%232C3E50%27%2C+%27%2334495E%27%2C+%27%235D6D7E%27%2C+%27%2385929E%27%5D+outfit,https://amazon.com/sharp-winter-party,https://flipkart.com/sharp-winter-party,https://meesho.com/sharp-winter-party,local image path replaced
Male,Party,Light Warm,Winter,6,Warm Party Style,"['#8B4513', '#A0522D', '#CD853F', '#DEB887']",/static/images/warm_party_style.jpg,https://amazon.com/warm-party-style,https://flipkart.com/warm-party-style,https://meesho.com/warm-party-style,Party,https://unsplash.com/s/photos/Warm+Party+Style+%5B%27%238B4513%27%2C+%27%23A0522D%27%2C+%27%23CD853F%27%2C+%27%23DEB887%27%5D+outfit,https://amazon.com/warm-party-style,https://flipkart.com/warm-party-style,https://meesho.com/warm-party-style,local image path replaced
Male,College,Medium Cool,Spring,19,Cool College Casual,"['#3498DB', '#85C1E9', '#AED6F1', '#D6EAF8']",/static/images/cool_college_casual.jpg,https://amazon.com/cool-college-casual,https://flipkart.com/cool-college-casual,https://meesho.com/cool-college-casual,College,https://unsplash.com/s/photos/Cool+College+Casual+%5B%27%233498DB%27%2C+%27%2385C1E9%27%2C+%27%23AED6F1%27%2C+%27%23D6EAF8%27%5D+outfit,https://amazon.com/cool-college-casual,https://flipkart.com/cool-college-casual,https://meesho.com/cool-college-casual,local image path replaced
Male,College,Medium Warm,Spring,22,Trendy Campus Look,"['#E67E22', '#F39C12', '#F7DC6F', '#FCF3CF']",/static/images/trendy_campus.jpg,https://amazon.com/trendy-campus,https://flipkart.com/trendy-campus,https://meesho.com/trendy-campus,College,https://unsplash.com/s/photos/Trendy+Campus+Look+%5B%27%23E67E22%27%2C+%27%23F39C12%27%2C+%27%23F7DC6F%27%2C+%27%23FCF3CF%27%5D+outfit,https://amazon.com/trendy-campus,https://flipkart.com/trendy-campus,https://meesho.com/trendy-campus,local image path replaced
Male,Office,Deep Cool,Summer,26,Professional Cool,"['#2C3E50', '#34495E', '#85C1E9', '#D6EAF8']",/static/images/professional_cool.jpg,https://amazon.com/professional-cool,https://flipkart.com/professional-cool,https://meesho.com/professional-cool,Professional,https://unsplash.com/s/photos/Professional+Cool+%5B%27%232C3E50%27%2C+%27%2334495E%27%2C+%27%2385C1E9%27%2C+%27%23D6EAF8%27%5D+outfit,https://amazon.com/professional-cool,https://flipkart.com/professional-cool,https://meesho.com/professional-cool,local image path replaced
Male,Office,Deep Warm,Summer,29,Executive Warm,"['#8B4513', '#A0522D', '#F4A460', '#DEB887']",/static/images/executive_warm.jpg,https://amazon.com/executive-warm,https://flipkart.com/executive-warm,https://meesho.com/executive-warm,Professional,https://unsplash.com/s/photos/Executive+Warm+%5B%27%238B4513%27%2C+%27%23A0522D%27%2C+%27%23F4A460%27%2C+%27%23DEB887%27%5D+outfit,https://amazon.com/executive-warm,https://flipkart.com/executive-warm,https://meesho.com/executive-warm,local image path replaced
