gender,occasion,skin_tone,season,temperature,outfit_name,color_palette,image_url,amazon_link,flipkart_link,meesho_link
Female,Wedding,Light Warm,Winter,9,Winter Party Outfit,"['#D76CA9', '#68DD92', '#D657AB', '#350960']",https://images.openai.com/thumbnails/url/qGvFWXicDcnbDkMwAADQL3KLmJAsC1vImEuITb0slNFQpe2Gfc7-an-zndfz_XScT8yUpGaEdJt4Uwu8GmWxZbzkCIqQYIl1ZJrQ2B7m_f9MK6wNF6Y4hmWg3QcHQ2cpFCtRL56-c22Nyn1Fa09Yz-sKwgdwUqr13nsp0JZnGMyGkN9Ymvhb4z2DOiKlUiF_ORHMtswG3aD2-jFC8iuurhHVDesHWTs6Wg,https://www.amazon.in/Designer-Lehenga-Embroidered-3-Piece-Traditional/dp/B0F3DC4SJ4?utm_source=chatgpt.com,https://www.royalexport.in/product/magenta-embroidered-faux-georgette-anarkali-gown-s-10344?utm_source=chatgpt.com,https://in.kalkifashion.com/products/mint-green-silk-bridesmaid-lehenga-with-heavy-embroidery?utm_source=chatgpt.com
Female,Party,Light Warm,Autumn,23,Winter Party Outfit,"['#F7D685', '#4E3CFE', '#227027', '#09145B']",https://kalki.gumlet.io/cdn/shop/files/PinkSilkBandhaniBridesmaidLehengaWithZardosiWork-sg311009-1_1.jpg?w=1000&,https://www.amazon.in/dp/B0F3DC4SJ4,https://in.kalkifashion.com/products/pink-silk-bandhani-bridesmaid-lehenga-with-zardosi-workhttps://in.kalkifashion.com/products/pink-silk-bandhani-https://in.kalkifashion.com/products/pink-silk-bandhani-bridesmaid-lehenga-with-zardosi-work,https://www.royalexport.in/product/magenta-embroidered-faux-georgette-anarkali-gown-s-10344
Male,Wedding,Deep Warm,Autumn,21,Winter Party Outfit,"['#D35400', '#A04000', '#E59866', '#FAD7A0']",https://www.houseofindya.com/zoom/?_d=545641&_f=indya,https://www.amazon.in/VASTRAMAY-Mustard-Blend-Embroidered-KurtaFor/dp/B0DGTTLRBG?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1WYWER0W24N8S&utm_source=chatgpt.com,https://www.myntra.com/kurta-sets/manyavar/manyavar-men-ethnic-motifs-printed-mirror-work-kurta-with-pyjamas--nehru-jacket/36102668/buy?utm_source=chatgpt.com,https://www.houseofindya.com/rust-orange-solid-jacquard-kurta-set-for-men-545641/iprdt?utm_source=chatgpt.com
Female,Party,Olive,Autumn,27,Winter Party Outfit,"['#D35400', '#A04000', '#E59866', '#FAD7A0']",https://images.openai.com/thumbnails/url/PCKCh3icDclJDoIwAADAFwECGpTEmGIADW5YWeRCBIG2Yltoxeir_I6_0bnO94Ok5MLWtIqW_YvL6qrIgo7URsiLxKVasrsmEOMc02bRzf9ng9115pcwSos8f9dj5pLo2DNi6gqA3tOo-zo7wNMkTGIi0hiBTW5Ye2uV6mHQ6a5jynwrcdonVhFPSfJgDtARxOy8NGuRcWFSi7ZBi6o1hs7qpJAWDCgyIs-_kUE0P4xDPrY,https://www.myntra.com/dresses/veni+vidi+vici/veni-vidi-vici-burgundy-ruched-bodycon-dress/10054785/buy,https://www.myntra.com/dresses/mast+%26+harbour/mast--harbour-olive-green-solid-tiered-shirt-dress/15977586/buy?utm_source=chatgpt.com,https://www2.hm.com/en_in/productpage.1300591001.html?crawl=&utm_source=chatgpt.com
Female,Party,Light Cool,Winter,14,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",https://m.media-amazon.com/images/I/61eg+tHbXVL._SY879_.jpg,https://www.amazon.in/Stylum-Womens-Solid-Embroidered-GWSKYNAYRA42_Sky/dp/B0DZ64KHQN?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1WYWER0W24N8S&utm_source=chatgpt.com,https://www.ajio.com/only-women-sequinned-bodycon-dress/p/442794870_blue?utm_source=chatgpt.com#gmf,https://www.amazon.in/FAM-INDIA-Bodycon-Sleeveless-Western/dp/B0FSWWKL4L?utm_source=chatgpt.com&th=1&psc=1
Male,Wedding,Deep Warm,Autumn,27,Winter Party Outfit,"['#D35400', '#A04000', '#E59866', '#FAD7A0']",https://images.openai.com/thumbnails/url/bSA33nicDcndCoIwGADQJ5omwUIhIn9SyMRASL0Jt4nO37lvYutBerfeps7t-X5apQQ4pllPVGqhaoYUmSyjAVUpTg06jya0sxB8ak7L8X_OOWF2SO-3NfL9a4e4N_g4l0EepxgrF3j5hIM1szRuJHdLtLdLKqFCWr89_XgFhbtdujBqSbz0QxAuZOSMZF2xYYlWKrIB-mT3A6UgNrw,https://www.utsavfashion.com/product/embroidered-georgette-sherwani-in-orange-mte1656-fh23?geoip_country=in&utm_source=chatgpt.com,https://vastramay.com/products/mens-orange-silk-blend-sherwani-set1307?variant=42280035123458&country=IN&currency=INR&utm_source=chatgpt.com,https://www.myntra.com/kurta-sets/manyavar/manyavar-men-geometric-woven-design-mandarin-collar-kurta-with-pyjamas/36102660/buy?utm_source=chatgpt.com
Male,Wedding,Deep Warm,Autumn,28,Winter Party Outfit,"['#D35400', '#A04000', '#E59866', '#FAD7A0']",https://images.openai.com/thumbnails/url/6dTSpnicDcltCoIwAADQE6VGhR8QIc5UgmWoZf0JN2WbpU43nXWbjtVt6v193w-VkgtH16sWDy8uq3IhUWtoRMhCMqzhrtEF7ThnLdn12_85LiztACfCnvpyjlX44PXQyToGtYmiSUGYFRG_5g0rRhLe45XfH5fwDQ5UBmuekvmWnpHXnMJEVRlkne_vn8jOp5mqywg8ZVkgdT1y2Yyu2fLA-AGjvTsZ,https://vastramay.com/products/mens-orange-silk-blend-sherwani-set1307?variant=42280035123458&country=IN&currency=INR&utm_source=chatgpt.com,https://www.utsavfashion.com/product/embroidered-georgette-sherwani-in-orange-mte1656-fh23?geoip_country=in&utm_source=chatgpt.com,https://www.andaazfashion.com/plain-art-silk-dusty-orange-mens-sherwani-mstv0909.html?currency_code=INR&utm_source=chatgpt.com
Male,Wedding,Olive,Autumn,23,Winter Party Outfit,"['#8C46D2', '#D335A1', '#837DF2', '#88605B']",https://images.openai.com/static-rsc-1/S-WEP4lE_V_De5zIpeU1Na1ANoi_E3sr0Ic0CXG5qDmj7okJU0lV_GzBrTcwsltKKq3ANnM6CRZFqnq_GYTPHOlnC4oo-fKosAUpHElVw4Zr9n8KcqGmt4UCcMl-FWCVpt9sk6VN_vIBoi2DSxKJNVn0aWlSw02dgaEIyTSoWaKD5r5lZipFpUcZAL0VvASC,https://www.amazon.in/KISAH-Western-Sherwani-Trouser-Mandarin/dp/B0CLLZH6XL?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1WYWER0W24N8S&utm_source=chatgpt.com&th=1&psc=1,https://www.utsavfashion.com/product/woven-art-silk-sherwani-in-olive-green-muy2532-sh25?geoip_country=in&utm_source=chatgpt.com,https://www.manyavar.com/en-in/kurta-pajama/olive-green-regal-kurta-pajama/M399833.html?utm_source=chatgpt.com
Female,Wedding,Medium Warm,Winter,5,Winter Party Outfit,"['#83AAE2', '#5D6243', '#A2C806', '#5541F2']",https://images.openai.com/thumbnails/url/W404cXicDclJDoIwFADQE1WsQRkSYzQqhMF5qhtTChREKdDvUI7lbbyNvu37fjKAStqalpSsURUkMYKoxB0ugULOOkzcNZmJqspLPqqH_7PHi9hy2O6ANtHl1V83PZMJ8jbaq0Uy6XdNGrqzlDB2gqC91H1jgZFS5IbdM5YeXYqaDabutfDKQr87D0iDuQq5joMJ1xtnf8OQFDoKySoXFE0fvvX0529vd9yihii-pekPGaM_Tw,https://www.myntra.com/ethnic-dresses/vedana/vedana-turquoise-blue--green-ethnic-motifs-maxi-dress/15293724/buy?utm_source=chatgpt.com,https://www.manyavar.com/en-in/lehenga/emerald-bliss-lehenga/M380551.html?utm_source=chatgpt.com,https://www.myntra.com/lehenga-choli/sera/sera-blue--green-printed-ready-to-wear-lehenga-/21156142/buy?utm_source=chatgpt.com
Female,Wedding,Deep Cool,Winter,5,Winter Party Outfit,"['#2C3E50', '#AFCBFF', '#E8F4FD', '#ECF0F1']",https://images.openai.com/thumbnails/url/yk8RD3icDcltDoIgAADQE5UGStHWGq5pVrPF0lp_nGAqWX6BOTxU9-k29f6-76dQqpFLw7hXvNONuqcTxSowzaVKlOBTXr8MWdRNI6p83a7-tyRBij1OHeZjCMkrAsDba7PjblbOYFai7HCOQgRHFfax1dZkoBHDSF_D3g_7-X6LngubzLFTBz7LbShv4P1O6EETMXoncd6ZumDiSB1vkJe4z0sMUrN00YNam-AHtTc8oA,https://www.myntra.com/dresses/stylecast/stylecast-fit--flare-dress/30038459/buy?storeContext=fwd&utm_source=chatgpt.com,https://www.amazon.in/Thapnath-Evening-Bodycon-Chiffon-Regular/dp/B0DS4VXR5H?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A2O6PC2QEBUWHI&utm_source=chatgpt.com&th=1&psc=1,https://www.libas.in/products/navy-blue-embellished-silk-blend-a-line-gown-with-dupatta-51800?variant=45629283205270&utm_source=chatgpt.com
