skin_type,product_name,description,brand,image,link
dry,Hydrating Facial Cleanser,Gentle cream cleanser with ceramides and hyaluronic acid for dry skin,CeraVe,/static/images/cerave_cleanser.jpg,https://www.amazon.in/dp/B07C5XPXDC
dry,Rich Moisturizing Cream,Intensive moisturizer with shea butter and glycerin,Neutrogena,/static/images/neutrogena_cream.jpg,https://www.amazon.in/dp/B08HRCNFCM
dry,Hyaluronic Acid Serum,Powerful hydrating serum with multiple molecular weights,NOX DETOX,/static/images/ordinary_hyaluronic.jpg,https://www.amazon.in/dp/B0CQT7QJHS
dry,Olay Age Defying Anti-Wrinkle Night Cream,Rich overnight treatment with peptides and ceramides,Olay,/static/images/olay_night_cream.jpg,https://www.amazon.in/dp/B000NUTUMQ
dry,Herbals Gentle Exfoliating Walnut Scrub,Mild exfoliant with jojoba beads for sensitive dry skin,Himalaya,/static/images/aveeno_scrub.jpg,https://www.amazon.in/dp/B006G83SKY
dry,Vitamin E Moisture Cream,Nourishing facial oil with vitamin E and rosehip,The Body Shop,/static/images/bodyshop_oil.jpg,https://www.amazon.in/dp/B074MFPP5X
dry,Barrier Repair Balm,Intensive healing balm for very dry and cracked skin,Aquaphor,/static/images/aquaphor_balm.jpg,https://www.amazon.in/dp/B06XCPPRLK
dry,Soothing Toner,Alcohol-free toner with rose water and glycerin,Thayers,/static/images/thayers_toner.jpg,https://www.amazon.in/dp/B07CF525NG
dry,Argireline & Copper Peptide B�TOX Serum ,Concentrated ceramide treatment for barrier repair,Dr. Sheth's,/static/images/drjart_ceramide.jpg,https://www.amazon.in/dp/B0DZ21HM73
dry,Ultra Moisturizing Lotion,Daily body and face lotion for extreme dryness,Eucerin,/static/images/eucerin_lotion.jpg,https://www.amazon.in/dp/B000VW1CRM
oily,Foaming Gel Cleanser,Deep cleansing gel with salicylic acid for oily skin,Neutrogena,/static/images/neutrogena_gel.jpg,https://www.amazon.in/dp/B0DPM7JYMX
oily,Oil-Free Moisturizer,Lightweight gel moisturizer that won't clog pores,POND'S,/static/images/PONDS_moisturizer.jpg,https://www.amazon.in/dp/B09Z6R5XSK
oily,Niacinamide Serum,Oil control serum with 10% niacinamide and zinc,Minimalist,/static/images/Minimalist_niacinamide.jpg,https://www.amazon.in/dp/B0CW1M65YC
oily,Clay Mask,Purifying clay mask with kaolin and bentonite,Glow & Go,/static/images/Glow_Go_mask.jpg,https://www.amazon.in/dp/B0DNMHRBK8
oily,BHA Exfoliant,2% salicylic acid treatment for blackheads and pores,Minimalist,/static/images/Minimalist_bha.jpg,https://www.amazon.in/dp/B08GG9M863
oily,Mattifying Primer,Oil-controlling primer with silica and dimethicone,Devriz,/static/images/Devriz_primer.jpg,https://www.amazon.in/dp/B0FXXVXYMX
oily,Purifying Toner,Astringent toner with witch hazel and tea tree,Clean & Clear,/static/images/clean_clear_toner.jpg,https://www.amazon.in/dp/B00CI3HDMU
oily,Deep Wrinkle Night Cream,Gentle retinol serum for acne-prone oily skin,RoC,/static/images/roc_retinol.jpg,https://www.amazon.in/dp/B00538B7CO
oily,Oil Blotting Papers,Instant oil absorption papers for touch-ups,Clean & Clear,/static/images/blotting_papers.jpg,https://www.amazon.in/dp/B071W6G9ZP
oily,Zinc Oxide Sunscreen,Non-comedogenic mineral sunscreen SPF 30,Elemnt,/static/images/Elemnt_sunscreen.jpg,https://www.amazon.in/dp/B09R4DKD3L
normal,Daily Gentle Cleanser,Balanced cleanser suitable for all skin types,Cetaphil,/static/images/cetaphil_cleanser.jpg,https://www.amazon.in/dp/B07JGHSX4Z
